transaction_id,product_id,channel,sku,supplier_name,sale_date,revenue_gross_usd,transaction_fee_usd,affiliate_commission_usd,status,promo_id,bundle_name,royalty_pct,royalty_fixed_usd
TXN-001,PID-042,retail,MED-042-NR,North Rock Media,2024-03-15,100.0,5.0,2.0,COMPLETE,,,,
TXN-002,PID-042,retail,MED-042-NR,North Rock Media,2024-04-20,120.0,6.0,0.0,COMPLETE,,,,
TXN-003,PID-042,retail,MED-042-NR,North Rock Media,2024-08-10,150.0,7.5,0.0,COMPLETE,,,,
TXN-100,PID-107,retail,MED-107-BW,BlueWave Records,2024-03-15,90.0,4.5,1.8,COMPLETE,,,,
TXN-101,PID-107,retail,MED-107-BW,BlueWave Records,2024-05-30,110.0,5.5,0.0,COMPLETE,,,,
TXN-102,PID-107,retail,MED-107-BW,BlueWave Records,2024-06-15,130.0,6.5,0.0,COMPLETE,,,,
TXN-103,PID-107,retail,MED-107-BW,BlueWave Records,2024-08-01,100.0,5.0,0.0,COMPLETE,,,,
TXN-234A,PID-234,retail,MED-234-SS,Southstar Publishing,2024-03-01,50.0,2.5,1.0,COMPLETE,,,,
TXN-234B,PID-234,retail,MED-234-SS,Southstar Publishing,2024-05-01,60.0,3.0,0.0,COMPLETE,,,,
TXN-234C,PID-234,retail,MED-234-SS,Southstar Publishing,2024-07-01,55.0,2.75,0.0,COMPLETE,,,,
TXN-311A,PID-311,retail,MED-311-NR,North Rock Media,2024-03-01,40.0,2.0,0.8,COMPLETE,,,,
TXN-311B,PID-311,retail,MED-311-NR,North Rock Media,2024-05-15,45.0,2.25,0.0,COMPLETE,,,,
TXN-311C,PID-311,b2b,MED-311-NR,North Rock Media,2024-06-10,400.0,8.0,0.0,COMPLETE,,,0.8,
TXN-311D,PID-311,b2b,MED-311-NR,North Rock Media,2024-07-20,550.0,11.0,0.0,COMPLETE,,,0.8,
TXN-050A,PID-050,retail,MED-050-NR,North Rock Media,2024-05-01,80.0,4.0,0.0,COMPLETE,,,,
TXN-102A,PID-102,retail,MED-102-SS,Southstar Publishing,2024-06-01,200.0,10.0,4.0,COMPLETE,,,,
TXN-201A,PID-201,b2b,MED-201-BW,BlueWave Records,2024-06-01,300.0,6.0,0.0,COMPLETE,,,0.65,
